عدد التصاريح من نسك,نوع التصريح,الجنس,اليوم
1,روضة رجال,أنثى,1444/4/25
1,روضة رجال,أنثى,1444/7/20
1,روضة رجال,أنثى,1444/1/6
4686,روضة نساء,أنثى,1444/1/7
11278,روضة رجال,ذكر,1444/1/4
9877,روضة رجال,ذكر,1444/2/1
11362,عمرة,أنثى,1444/2/11
20931,عمرة,أنثى,1444/2/20
15824,عمرة,ذكر,1444/2/22
33349,عمرة,ذكر,1444/2/12
12576,روضة نساء,أنثى,1444/1/22
26197,عمرة,أنثى,1444/4/17
14674,عمرة,ذكر,1444/3/2
20832,عمرة,أنثى,1444/4/22
10397,روضة رجال,ذكر,1444/2/8
13569,روضة نساء,أنثى,1444/3/20
14222,روضة رجال,ذكر,1444/4/15
18720,عمرة,ذكر,1444/5/11
15386,روضة نساء,أنثى,1444/4/14
44450,عمرة,ذكر,1444/4/17
10696,روضة نساء,أنثى,1444/3/14
38134,عمرة,ذكر,1444/5/15
14972,روضة نساء,أنثى,1444/5/19
17771,عمرة,أنثى,1444/6/8
38046,عمرة,ذكر,1444/3/11
16262,روضة نساء,أنثى,1444/4/25
29049,عمرة,ذكر,1444/6/3
25998,عمرة,أنثى,1444/5/3
15924,روضة رجال,ذكر,1444/5/14
15169,روضة نساء,أنثى,1444/3/19
16723,روضة رجال,ذكر,1444/6/5
29684,عمرة,أنثى,1444/5/29
32519,عمرة,ذكر,1444/6/4
12838,روضة نساء,أنثى,1444/5/1
31460,عمرة,أنثى,1444/1/15
11542,روضة نساء,أنثى,1444/1/25
16207,روضة رجال,ذكر,1444/6/3
14261,روضة رجال,ذكر,1444/4/28
12515,عمرة,أنثى,1444/3/24
15224,روضة رجال,ذكر,1444/6/16
17972,عمرة,أنثى,1444/4/7
16754,روضة رجال,ذكر,1444/5/5
23505,عمرة,أنثى,1444/6/13
14655,عمرة,ذكر,1444/3/21
17718,عمرة,أنثى,1444/6/16
17532,روضة نساء,أنثى,1444/4/30
27707,عمرة,ذكر,1444/5/6
13628,عمرة,أنثى,1444/2/28
18002,عمرة,أنثى,1444/5/11
